date,location,customer_name,basket,pay_amount,payment_method,ccn
29/09/2020 09:07,Isle of Wight,Heather Mack," Speciality Tea - Darjeeling - £1.30, Large Espresso - £1.80, Regular Chai latte - £2.30, Large Flavoured hot chocolate - Hazelnut - £2.90",8.30,CARD,60112374875941710
29/09/2020 09:08,Isle of Wight,Roberta Goodin,"Regular Luxury hot chocolate - £2.40,  Flavoured iced latte - Caramel - £2.75,  Flavoured iced latte - Hazelnut - £2.75,  Flavoured iced latte - Caramel - £2.75",10.65,CARD,5195795387383267
29/09/2020 09:08,Isle of Wight,Ted Tripp," Iced latte - £2.35,  Frappes - Strawberries & Cream - £2.75",5.10,CARD,49862792655672310
29/09/2020 09:09,Isle of Wight,Kay Wetzel,"Regular Luxury hot chocolate - £2.40, Large Flavoured latte - Hazelnut - £2.85, Large Flavoured hot chocolate - Vanilla - £2.90,  Smoothies - Berry Beautiful - £2.00",10.15,CASH,
29/09/2020 09:09,Isle of Wight,Jon Ferreira," Speciality Tea - Earl Grey - £1.30,  Cortado - £2.05, Large Americano - £2.25",5.60,CARD,4685787186661
29/09/2020 09:10,Isle of Wight,Robin Hopkins,"Large Americano - £2.25,  Mocha - £2.30,  Smoothies - Carrot Kick - £2.00,  Speciality Tea - English breakfast - £1.30",7.85,CASH,
29/09/2020 09:10,Isle of Wight,Joseph Murphy,"Large Flavoured hot chocolate - Vanilla - £2.90,  Smoothies - Glowing Greens - £2.00, Regular Luxury hot chocolate - £2.40, Large Americano - £2.25",9.55,CARD,4563829827396
29/09/2020 09:11,Isle of Wight,Lamar Koopman, Mocha - £2.30,2.30,CARD,6011244251377857
29/09/2020 09:11,Isle of Wight,Grace Ross," Flat white - £2.15, Regular Chai latte - £2.30,  Iced americano - £2.15, Regular Flavoured hot chocolate - Caramel - £2.60,  Red Label tea - £1.20",10.40,CARD,5396877996473221
29/09/2020 09:12,Isle of Wight,Annie Miller," Speciality Tea - Darjeeling - £1.30,  Frappes - Coffee - £2.75,  Speciality Tea - Peppermint - £1.30,  Speciality Tea - Darjeeling - £1.30",6.65,CASH,
29/09/2020 09:12,Isle of Wight,Samatha Curtis," Frappes - Strawberries & Cream - £2.75, Regular Latte - £2.15",4.90,CARD,60113277869918610
29/09/2020 09:13,Isle of Wight,Linda Kerney," Red Label tea - £1.20, Regular Filter coffee - £1.50,  Flat white - £2.15",4.85,CARD,6011926819231895
29/09/2020 09:13,Isle of Wight,Randall Mccray," Speciality Tea - Camomile - £1.30, Regular Hot chocolate - £2.20, Large Chai latte - £2.60, Regular Chai latte - £2.30",8.40,CARD,372964859583848
29/09/2020 09:14,Isle of Wight,Sandra Grisby,"Large Espresso - £1.80,  Frappes - Coffee - £2.75, Large Americano - £2.25, Regular Cappuccino - £2.15, Large Flavoured hot chocolate - Hazelnut - £2.90",11.85,CASH,
29/09/2020 09:14,Isle of Wight,Rachel Thomas," Speciality Tea - English breakfast - £1.30,  Iced latte - £2.35, Regular Hot chocolate - £2.20, Large Filter coffee - £1.80,  Speciality Tea - Fruit - £1.30",8.95,CASH,
29/09/2020 09:15,Isle of Wight,Tyler Moore,"Regular Hot chocolate - £2.20,  Iced latte - £2.35, Regular Americano - £1.95",6.50,CASH,
29/09/2020 09:15,Isle of Wight,Lorene Byers, Speciality Tea - Darjeeling - £1.30,1.30,CARD,4152832653192165
29/09/2020 09:16,Isle of Wight,Thomas Reliford," Frappes - Coffee - £2.75, Regular Hot chocolate - £2.20",4.95,CARD,5492415722834797
29/09/2020 09:16,Isle of Wight,Darrin Jean,"Large Flavoured latte - Gingerbread - £2.85, Large Flavoured hot chocolate - Vanilla - £2.90,  Flavoured iced latte - Vanilla - £2.75,  Speciality Tea - Darjeeling - £1.30, Regular Filter coffee - £1.50",11.30,CARD,4169656852166
29/09/2020 09:17,Isle of Wight,Harry Rude," Red Label tea - £1.20, Large Flavoured hot chocolate - Caramel - £2.90",4.10,CASH,
29/09/2020 09:17,Isle of Wight,Ella Parent," Speciality Tea - Darjeeling - £1.30, Regular Luxury hot chocolate - £2.40,  Speciality Tea - Camomile - £1.30, Regular Americano - £1.95, Large Flavoured hot chocolate - Hazelnut - £2.90",9.85,CARD,372829396596191
29/09/2020 09:18,Isle of Wight,Alexander Williams," Hot Chocolate - £1.40, Regular Cappuccino - £2.15",3.55,CASH,
29/09/2020 09:18,Isle of Wight,Arthur Zanghi," Speciality Tea - Green - £1.30, Large Flavoured hot chocolate - Caramel - £2.90",4.20,CASH,
29/09/2020 09:19,Isle of Wight,Tashia Stephen,"Regular Flavoured latte - Vanilla - £2.55,  Hot Chocolate - £1.40,  Flavoured iced latte - Hazelnut - £2.75",6.70,CASH,
29/09/2020 09:19,Isle of Wight,Rosa Birkholz," Smoothies - Carrot Kick - £2.00, Regular Flavoured latte - Vanilla - £2.55,  Frappes - Coffee - £2.75,  Flavoured iced latte - Vanilla - £2.75, Large Flavoured latte - Caramel - £2.85",12.90,CARD,6011856388653197
29/09/2020 09:20,Isle of Wight,Jacqueline Bowman," Frappes - Coffee - £2.75, Regular Flavoured hot chocolate - Hazelnut - £2.60",5.35,CARD,5434574826824939
29/09/2020 09:20,Isle of Wight,Juanita Peterson,"Regular Hot chocolate - £2.20,  Smoothies - Glowing Greens - £2.00",4.20,CARD,4121443939749345
29/09/2020 09:21,Isle of Wight,William Aronow,"Large Cappuccino - £2.45,  Mocha - £2.30",4.75,CASH,
29/09/2020 09:21,Isle of Wight,Vivian Massey,"Regular Hot chocolate - £2.20,  Mocha - £2.30, Regular Flavoured hot chocolate - Caramel - £2.60",7.10,CASH,
29/09/2020 09:22,Isle of Wight,Joel Walla," Speciality Tea - Camomile - £1.30,  Glass of milk - £0.70,  Frappes - Strawberries & Cream - £2.75",4.75,CARD,4584938583116642
29/09/2020 09:22,Isle of Wight,Joshua Owens," Speciality Tea - Darjeeling - £1.30, Large Latte - £2.45, Regular Cappuccino - £2.15,  Iced americano - £2.15,  Speciality Tea - Green - £1.30",9.35,CASH,
29/09/2020 09:23,Isle of Wight,Shawn Jackson, Speciality Tea - Fruit - £1.30,1.30,CARD,6011399133956276
29/09/2020 09:23,Isle of Wight,Howard Montoya, Frappes - Coffee - £2.75,2.75,CASH,
29/09/2020 09:24,Isle of Wight,Flora Crisp," Iced latte - £2.35,  Iced americano - £2.15, Large Espresso - £1.80,  Speciality Tea - Darjeeling - £1.30",7.60,CASH,
29/09/2020 09:24,Isle of Wight,Trisha Newby,"Large Flavoured hot chocolate - Caramel - £2.90,  Mocha - £2.30, Regular Americano - £1.95,  Flavoured iced latte - Vanilla - £2.75",9.90,CASH,
29/09/2020 09:25,Isle of Wight,Jacqueline Thomas," Iced latte - £2.35, Large Americano - £2.25,  Smoothies - Berry Beautiful - £2.00, Large Flavoured latte - Vanilla - £2.85, Large Flavoured hot chocolate - Vanilla - £2.90",12.35,CARD,4292387262577257
29/09/2020 09:25,Isle of Wight,Jane Fleming,"Regular Flavoured hot chocolate - Hazelnut - £2.60,  Smoothies - Carrot Kick - £2.00",4.60,CARD,4934761895972123
29/09/2020 09:26,Isle of Wight,Frances Hendler," Frappes - Chocolate Cookie - £2.75,  Mocha - £2.30, Regular Luxury hot chocolate - £2.40, Large Flavoured latte - Hazelnut - £2.85, Large Flavoured hot chocolate - Hazelnut - £2.90",13.20,CARD,4729429682982
29/09/2020 09:26,Isle of Wight,Cindi Decosta," Speciality Tea - English breakfast - £1.30, Large Chai latte - £2.60, Large Americano - £2.25",6.15,CASH,
29/09/2020 09:27,Isle of Wight,Edwin Douglas,"Regular Americano - £1.95,  Mocha - £2.30,  Frappes - Strawberries & Cream - £2.75, Large Espresso - £1.80",8.80,CASH,
29/09/2020 09:27,Isle of Wight,Allison Delgado," Mocha - £2.30,  Smoothies - Carrot Kick - £2.00,  Smoothies - Berry Beautiful - £2.00, Large Flavoured hot chocolate - Vanilla - £2.90,  Cortado - £2.05",11.25,CASH,
29/09/2020 09:28,Isle of Wight,Jeremy Bunker,"Regular Flavoured hot chocolate - Vanilla - £2.60, Large Americano - £2.25,  Iced latte - £2.35,  Babyccino - £0.00,  Flavoured iced latte - Hazelnut - £2.75",9.95,CARD,4725431847332
29/09/2020 09:28,Isle of Wight,Richard Dixon," Frappes - Chocolate Cookie - £2.75, Regular Flavoured hot chocolate - Hazelnut - £2.60, Regular Flavoured latte - Gingerbread - £2.55, Large Americano - £2.25,  Smoothies - Berry Beautiful - £2.00",12.15,CARD,5146498231515149
29/09/2020 09:29,Isle of Wight,Erika Mackay," Babyccino - £0.00,  Flavoured iced latte - Caramel - £2.75, Large Flavoured latte - Caramel - £2.85, Regular Chai latte - £2.30",7.90,CASH,
29/09/2020 09:29,Isle of Wight,Sara Tran," Smoothies - Carrot Kick - £2.00,  Mocha - £2.30,  Flavoured iced latte - Hazelnut - £2.75,  Smoothies - Berry Beautiful - £2.00,  Babyccino - £0.00",9.05,CASH,
29/09/2020 09:30,Isle of Wight,Nancy Gilbert,"Large Flavoured latte - Caramel - £2.85,  Cortado - £2.05, Large Flavoured hot chocolate - Vanilla - £2.90, Regular Flavoured hot chocolate - Caramel - £2.60,  Mocha - £2.30",12.70,CARD,6011331516536615
29/09/2020 09:30,Isle of Wight,Miguel Mason,"Large Flavoured latte - Caramel - £2.85,  Glass of milk - £0.70",3.55,CASH,
29/09/2020 09:31,Isle of Wight,Ronald Stewart,Large Americano - £2.25,2.25,CASH,
29/09/2020 09:31,Isle of Wight,Regina Hart," Speciality Tea - Darjeeling - £1.30,  Smoothies - Carrot Kick - £2.00, Large Flavoured latte - Caramel - £2.85, Large Americano - £2.25",8.40,CASH,
29/09/2020 09:32,Isle of Wight,Stanley Anderson," Flavoured iced latte - Vanilla - £2.75, Regular Latte - £2.15, Large Americano - £2.25",7.15,CARD,3527118898218610
29/09/2020 09:32,Isle of Wight,Dalton Rogerson," Hot Chocolate - £1.40,  Speciality Tea - Fruit - £1.30,  Iced latte - £2.35",5.05,CASH,
29/09/2020 09:33,Isle of Wight,Gayle Helle,"Large Flavoured latte - Vanilla - £2.85,  Smoothies - Glowing Greens - £2.00,  Speciality Tea - Green - £1.30, Regular Flavoured latte - Gingerbread - £2.55",8.70,CASH,
29/09/2020 09:33,Isle of Wight,Myrna Puleio," Speciality Tea - English breakfast - £1.30, Large Espresso - £1.80,  Smoothies - Berry Beautiful - £2.00,  Speciality Tea - Earl Grey - £1.30",6.40,CASH,
29/09/2020 09:34,Isle of Wight,Jimmy Ungerecht," Speciality Tea - Camomile - £1.30,  Speciality Tea - Fruit - £1.30,  Flavoured iced latte - Hazelnut - £2.75,  Speciality Tea - Camomile - £1.30, Large Americano - £2.25",8.90,CARD,4134932586418
29/09/2020 09:34,Isle of Wight,Heather Souers," Iced americano - £2.15, Regular Americano - £1.95, Regular Flavoured latte - Vanilla - £2.55, Large Filter coffee - £1.80, Regular Hot chocolate - £2.20",10.65,CARD,341465416981747
29/09/2020 09:35,Isle of Wight,Brenda Mack," Speciality Tea - Earl Grey - £1.30,  Iced latte - £2.35",3.65,CASH,
29/09/2020 09:35,Isle of Wight,Tommy Hout,Regular Filter coffee - £1.50,1.50,CARD,6011842964869969
29/09/2020 09:36,Isle of Wight,Terence Rogers,"Large Luxury hot chocolate - £2.70,  Speciality Tea - Peppermint - £1.30, Large Flavoured latte - Caramel - £2.85, Large Flavoured latte - Hazelnut - £2.85",9.70,CARD,6011474219832871
29/09/2020 09:36,Isle of Wight,Louis Holt," Iced latte - £2.35,  Speciality Tea - Fruit - £1.30,  Frappes - Chocolate Cookie - £2.75,  Speciality Tea - English breakfast - £1.30,  Hot Chocolate - £1.40",9.10,CARD,5344418666528953
29/09/2020 09:37,Isle of Wight,Richard Morales,Large Chai latte - £2.60,2.60,CASH,
29/09/2020 09:37,Isle of Wight,Ora Gilkes,"Large Latte - £2.45,  Smoothies - Glowing Greens - £2.00",4.45,CASH,
29/09/2020 09:38,Isle of Wight,Tanya Arnold,"Regular Americano - £1.95,  Speciality Tea - Camomile - £1.30,  Glass of milk - £0.70,  Speciality Tea - English breakfast - £1.30",5.25,CASH,
29/09/2020 09:38,Isle of Wight,Mona Sullivan," Speciality Tea - Darjeeling - £1.30, Large Latte - £2.45, Regular Flavoured hot chocolate - Vanilla - £2.60, Regular Flavoured latte - Vanilla - £2.55",8.90,CARD,6011991896162777
29/09/2020 09:39,Isle of Wight,Anna Hall,"Large Hot chocolate - £2.90,  Smoothies - Berry Beautiful - £2.00",4.90,CASH,
29/09/2020 09:39,Isle of Wight,Anthony Phillips,"Regular Americano - £1.95,  Smoothies - Carrot Kick - £2.00,  Speciality Tea - English breakfast - £1.30, Regular Flavoured latte - Gingerbread - £2.55,  Speciality Tea - English breakfast - £1.30",9.10,CARD,4622259441399
29/09/2020 09:40,Isle of Wight,Francis Reid,"Regular Flavoured hot chocolate - Caramel - £2.60,  Hot Chocolate - £1.40",4.00,CASH,
29/09/2020 09:40,Isle of Wight,James Lanzetta," Flavoured iced latte - Hazelnut - £2.75,  Speciality Tea - Earl Grey - £1.30",4.05,CARD,4198942956283
29/09/2020 09:41,Isle of Wight,Kimberly Carter, Speciality Tea - Green - £1.30,1.30,CASH,
29/09/2020 09:41,Isle of Wight,Mark Brockman," Mocha - £2.30, Regular Flavoured latte - Vanilla - £2.55, Regular Flavoured hot chocolate - Vanilla - £2.60,  Smoothies - Glowing Greens - £2.00,  Speciality Tea - Camomile - £1.30",10.75,CARD,361586472162727
29/09/2020 09:42,Isle of Wight,John Ramaudar,"Large Cappuccino - £2.45, Regular Cappuccino - £2.15, Large Chai latte - £2.60, Regular Latte - £2.15,  Babyccino - £0.00",9.35,CASH,
29/09/2020 09:42,Isle of Wight,Charles Bennetts," Flavoured iced latte - Vanilla - £2.75,  Frappes - Chocolate Cookie - £2.75, Regular Americano - £1.95",7.45,CARD,4964873139342
29/09/2020 09:43,Isle of Wight,Dina Cook,"Large Latte - £2.45, Large Hot chocolate - £2.90",5.35,CASH,
29/09/2020 09:43,Isle of Wight,Anthony Little,Regular Cappuccino - £2.15,2.15,CARD,5478439119497875
29/09/2020 09:44,Isle of Wight,Camille Mills,"Large Americano - £2.25, Regular Latte - £2.15,  Speciality Tea - Darjeeling - £1.30",5.70,CARD,4734588851498252
29/09/2020 09:44,Isle of Wight,Jeanne Gutierrez,"Regular Flavoured latte - Hazelnut - £2.55, Regular Flavoured latte - Gingerbread - £2.55,  Smoothies - Glowing Greens - £2.00,  Frappes - Chocolate Cookie - £2.75,  Hot Chocolate - £1.40",11.25,CASH,
29/09/2020 09:45,Isle of Wight,Walter Roberrtson,"Large Espresso - £1.80,  Flavoured iced latte - Caramel - £2.75,  Speciality Tea - Green - £1.30, Regular Chai latte - £2.30,  Iced americano - £2.15",10.30,CARD,6011585665769273
29/09/2020 09:45,Isle of Wight,Cameron Leeper,Regular Cappuccino - £2.15,2.15,CASH,
29/09/2020 09:46,Isle of Wight,Jean Looney," Speciality Tea - Darjeeling - £1.30, Regular Flavoured latte - Gingerbread - £2.55,  Speciality Tea - Green - £1.30,  Hot Chocolate - £1.40",6.55,CASH,
29/09/2020 09:46,Isle of Wight,David Knepper," Smoothies - Glowing Greens - £2.00,  Speciality Tea - Green - £1.30, Regular Flavoured hot chocolate - Vanilla - £2.60",5.90,CARD,5278735626525583
29/09/2020 09:47,Isle of Wight,Justin Shields, Speciality Tea - English breakfast - £1.30,1.30,CASH,
29/09/2020 09:47,Isle of Wight,Leslie Hagan," Flavoured iced latte - Vanilla - £2.75,  Iced americano - £2.15,  Frappes - Coffee - £2.75,  Smoothies - Carrot Kick - £2.00",9.65,CARD,6011313484734943
29/09/2020 09:48,Isle of Wight,David Gary,"Regular Luxury hot chocolate - £2.40,  Flavoured iced latte - Caramel - £2.75",5.15,CASH,
29/09/2020 09:48,Isle of Wight,Kevin Dodson, Flat white - £2.15,2.15,CASH,
29/09/2020 09:49,Isle of Wight,Effie Wogan," Hot Chocolate - £1.40,  Mocha - £2.30,  Glass of milk - £0.70, Large Americano - £2.25",6.65,CARD,5365547163299546
29/09/2020 09:49,Isle of Wight,Valeria Wenrich,"Regular Hot chocolate - £2.20, Regular Filter coffee - £1.50,  Glass of milk - £0.70, Regular Flavoured latte - Gingerbread - £2.55,  Frappes - Strawberries & Cream - £2.75",9.70,CASH,
29/09/2020 09:50,Isle of Wight,Celia Sugg," Smoothies - Berry Beautiful - £2.00, Large Flavoured hot chocolate - Hazelnut - £2.90,  Smoothies - Carrot Kick - £2.00",6.90,CASH,
29/09/2020 09:50,Isle of Wight,David Dewald," Glass of milk - £0.70, Regular Flavoured latte - Hazelnut - £2.55",3.25,CARD,4519235617169
29/09/2020 09:51,Isle of Wight,Carmen Rovinsky," Speciality Tea - Darjeeling - £1.30, Large Flavoured hot chocolate - Vanilla - £2.90,  Speciality Tea - Green - £1.30",5.50,CASH,
29/09/2020 09:51,Isle of Wight,Michael Parkhill," Red Label tea - £1.20,  Glass of milk - £0.70, Regular Flavoured latte - Hazelnut - £2.55",4.45,CASH,
29/09/2020 09:52,Isle of Wight,Rosemary Martin,"Regular Latte - £2.15,  Frappes - Coffee - £2.75",4.90,CASH,
29/09/2020 09:52,Isle of Wight,Patrick Janssen," Speciality Tea - Camomile - £1.30,  Smoothies - Berry Beautiful - £2.00,  Frappes - Chocolate Cookie - £2.75,  Smoothies - Carrot Kick - £2.00",8.05,CARD,4615852783266
29/09/2020 09:53,Isle of Wight,Marilyn Fox,"Large Latte - £2.45,  Flavoured iced latte - Hazelnut - £2.75",5.20,CARD,4926571139965
29/09/2020 09:53,Isle of Wight,Diane Johnson,"Regular Flavoured hot chocolate - Caramel - £2.60, Regular Luxury hot chocolate - £2.40, Large Americano - £2.25, Regular Cappuccino - £2.15",9.40,CARD,41275351387233210
29/09/2020 09:54,Isle of Wight,Ronald Vallejo,"Large Flavoured hot chocolate - Hazelnut - £2.90, Large Americano - £2.25",5.15,CASH,
29/09/2020 09:54,Isle of Wight,Marion Welch," Iced americano - £2.15, Regular Filter coffee - £1.50,  Speciality Tea - Earl Grey - £1.30, Large Espresso - £1.80, Large Latte - £2.45",9.20,CASH,
29/09/2020 09:55,Isle of Wight,Rafael Schmidt," Iced americano - £2.15,  Speciality Tea - Camomile - £1.30, Large Filter coffee - £1.80",5.25,CASH,
29/09/2020 09:55,Isle of Wight,Robert Jones," Speciality Tea - English breakfast - £1.30,  Glass of milk - £0.70, Regular Flavoured latte - Gingerbread - £2.55,  Mocha - £2.30,  Frappes - Strawberries & Cream - £2.75",9.60,CASH,
29/09/2020 09:56,Isle of Wight,Leanna Guiles," Red Label tea - £1.20, Regular Espresso - £1.50, Regular Espresso - £1.50,  Speciality Tea - Darjeeling - £1.30,  Flavoured iced latte - Hazelnut - £2.75",8.25,CARD,377838518992993
29/09/2020 09:56,Isle of Wight,Wilbert Korfhage,"Regular Luxury hot chocolate - £2.40, Regular Latte - £2.15, Large Latte - £2.45,  Speciality Tea - Green - £1.30,  Speciality Tea - English breakfast - £1.30",9.60,CASH,
29/09/2020 09:57,Isle of Wight,Joel Kirby," Speciality Tea - Camomile - £1.30,  Speciality Tea - Fruit - £1.30, Regular Latte - £2.15, Large Luxury hot chocolate - £2.70, Regular Espresso - £1.50",8.95,CASH,
29/09/2020 09:57,Isle of Wight,Rachel Clankscales,Large Latte - £2.45,2.45,CASH,
29/09/2020 09:58,Isle of Wight,Ginger Hutchins," Cortado - £2.05,  Red Label tea - £1.20, Large Flavoured latte - Hazelnut - £2.85, Regular Flavoured latte - Hazelnut - £2.55, Large Flavoured hot chocolate - Caramel - £2.90",11.55,CASH,
29/09/2020 09:58,Isle of Wight,Larry Garfield, Frappes - Coffee - £2.75,2.75,CARD,4342349381972
29/09/2020 09:59,Isle of Wight,Albert Allen," Smoothies - Carrot Kick - £2.00, Regular Latte - £2.15,  Flavoured iced latte - Caramel - £2.75,  Frappes - Strawberries & Cream - £2.75",9.65,CASH,
29/09/2020 09:59,Isle of Wight,Kim Perrin,"Regular Luxury hot chocolate - £2.40,  Babyccino - £0.00",2.40,CARD,6011925972323341
29/09/2020 10:00,Isle of Wight,Anna Lewis, Smoothies - Glowing Greens - £2.00,2.00,CARD,4524596166962
29/09/2020 10:00,Isle of Wight,Stephen Beard," Speciality Tea - Green - £1.30,  Cortado - £2.05, Regular Flavoured hot chocolate - Caramel - £2.60,  Flavoured iced latte - Caramel - £2.75, Regular Latte - £2.15",10.85,CASH,
29/09/2020 10:01,Isle of Wight,Anya Dean," Speciality Tea - Fruit - £1.30,  Speciality Tea - English breakfast - £1.30, Regular Flavoured hot chocolate - Vanilla - £2.60, Regular Cappuccino - £2.15",7.35,CASH,
29/09/2020 10:01,Isle of Wight,Michelle Palmer," Smoothies - Berry Beautiful - £2.00,  Flavoured iced latte - Caramel - £2.75",4.75,CARD,4927126276981284
29/09/2020 10:02,Isle of Wight,Dennis Brocato,"Regular Cappuccino - £2.15, Large Hot chocolate - £2.90, Regular Flavoured latte - Gingerbread - £2.55,  Speciality Tea - Camomile - £1.30",8.90,CARD,6011537634713726
29/09/2020 10:02,Isle of Wight,Joy Pope," Flavoured iced latte - Hazelnut - £2.75, Large Latte - £2.45,  Cortado - £2.05,  Iced latte - £2.35",9.60,CARD,4859682115337
29/09/2020 10:03,Isle of Wight,Caroline Rhodes," Speciality Tea - Fruit - £1.30,  Iced americano - £2.15,  Speciality Tea - Green - £1.30",4.75,CARD,44461885859135910
29/09/2020 10:03,Isle of Wight,Mandy Bottorff," Smoothies - Berry Beautiful - £2.00, Large Luxury hot chocolate - £2.70, Large Luxury hot chocolate - £2.70,  Iced latte - £2.35",9.75,CARD,4937685244617
29/09/2020 10:04,Isle of Wight,Donna Bell," Speciality Tea - Darjeeling - £1.30,  Babyccino - £0.00,  Flavoured iced latte - Hazelnut - £2.75",4.05,CASH,
29/09/2020 10:04,Isle of Wight,Russell Dawkins," Speciality Tea - Earl Grey - £1.30,  Flat white - £2.15, Large Cappuccino - £2.45,  Flavoured iced latte - Hazelnut - £2.75",8.65,CASH,
29/09/2020 10:05,Isle of Wight,Janis Dennison,"Regular Flavoured latte - Gingerbread - £2.55,  Speciality Tea - Darjeeling - £1.30",3.85,CASH,
29/09/2020 10:05,Isle of Wight,Irene Miller," Flavoured iced latte - Vanilla - £2.75, Large Latte - £2.45",5.20,CASH,
29/09/2020 10:06,Isle of Wight,Denise Poole," Smoothies - Carrot Kick - £2.00,  Frappes - Chocolate Cookie - £2.75, Regular Flavoured latte - Hazelnut - £2.55, Large Flavoured hot chocolate - Vanilla - £2.90, Regular Americano - £1.95",12.15,CASH,
29/09/2020 10:06,Isle of Wight,Edgar Leitheiser," Speciality Tea - Earl Grey - £1.30,  Frappes - Coffee - £2.75",4.05,CASH,
29/09/2020 10:07,Isle of Wight,Mary Fannell," Frappes - Strawberries & Cream - £2.75,  Speciality Tea - English breakfast - £1.30,  Speciality Tea - English breakfast - £1.30",5.35,CARD,5316866544961438
29/09/2020 10:07,Isle of Wight,Edward Simmons,"Regular Flavoured latte - Hazelnut - £2.55,  Red Label tea - £1.20",3.75,CARD,5386727498773358
29/09/2020 10:08,Isle of Wight,Nakita Taylor, Speciality Tea - Green - £1.30,1.30,CASH,
29/09/2020 10:08,Isle of Wight,David Craft, Iced americano - £2.15,2.15,CARD,6011962389378436
29/09/2020 10:09,Isle of Wight,Lorraine Horvath," Babyccino - £0.00, Large Cappuccino - £2.45, Regular Flavoured hot chocolate - Caramel - £2.60,  Flavoured iced latte - Hazelnut - £2.75",7.80,CARD,4719392892197
29/09/2020 10:09,Isle of Wight,Debra Rautenberg, Flavoured iced latte - Caramel - £2.75,2.75,CARD,352182342146545
29/09/2020 10:10,Isle of Wight,Laurie Grupe," Red Label tea - £1.20,  Speciality Tea - Peppermint - £1.30,  Mocha - £2.30,  Red Label tea - £1.20",6.00,CASH,
29/09/2020 10:10,Isle of Wight,Michael Scerra, Mocha - £2.30,2.30,CARD,4459942815477
29/09/2020 10:11,Isle of Wight,Ardella Taylor,"Regular Espresso - £1.50,  Speciality Tea - Fruit - £1.30",2.80,CASH,
29/09/2020 10:11,Isle of Wight,Penny Burns," Speciality Tea - Camomile - £1.30,  Speciality Tea - Green - £1.30, Regular Flavoured latte - Vanilla - £2.55",5.15,CASH,
29/09/2020 10:12,Isle of Wight,Rhoda Williamson," Glass of milk - £0.70,  Red Label tea - £1.20",1.90,CARD,4315335763886225
29/09/2020 10:12,Isle of Wight,Joann Cos,Regular Hot chocolate - £2.20,2.20,CARD,372337688319454
29/09/2020 10:13,Isle of Wight,Larry Williamson," Smoothies - Berry Beautiful - £2.00, Regular Latte - £2.15, Large Flavoured latte - Vanilla - £2.85,  Smoothies - Glowing Greens - £2.00",9.00,CASH,
29/09/2020 10:13,Isle of Wight,Richard Snowden," Speciality Tea - Camomile - £1.30, Regular Cappuccino - £2.15, Large Flavoured hot chocolate - Caramel - £2.90, Large Hot chocolate - £2.90,  Iced latte - £2.35",11.60,CASH,
29/09/2020 10:14,Isle of Wight,Tracy Walker," Cortado - £2.05, Large Chai latte - £2.60,  Cortado - £2.05",6.70,CASH,
